Date,Stock,Open,High,Low,Close
2020-05-13,MSFT,182.55,184.05,176.54,179.75
2020-05-14,MSFT,177.54,180.69,175.68,180.53
2020-05-15,MSFT,179.06,187.06,177.0,183.16
2020-05-16,MSFT,178.3,183.875,176.34,181.845
2020-05-17,MSFT,185.39,186.39999999999998,183.72500000000002,184.26999999999998
2020-05-18,MSFT,185.75,186.2,183.96,184.91
2020-05-19,MSFT,185.03,186.6,183.49,183.63
2020-05-20,MSFT,184.81,185.85,183.94,185.66
2020-05-21,MSFT,185.4,186.67,183.29,183.43
2020-05-22,MSFT,183.19,184.46,182.54,183.51
2020-05-23,MSFT,184.29500000000002,185.565,182.915,183.47
2020-05-24,MSFT,184.29500000000002,185.565,182.915,183.47
2020-05-25,MSFT,183.26999999999998,184.245,178.85,181.69
2020-05-26,MSFT,186.34,186.5,181.1,181.57
2020-05-27,MSFT,180.2,181.99,176.6,181.81
2020-05-28,MSFT,180.74,184.15,180.38,181.4
2020-05-29,MSFT,182.73,184.27,180.41,183.25
2020-05-30,MSFT,181.735,184.21,180.39499999999998,182.325
2020-05-31,MSFT,183.39499999999998,184.0,181.405,183.87
2020-06-01,MSFT,182.54,183.0,181.46,182.83
2020-06-02,MSFT,184.25,185.0,181.35,184.91
2020-06-03,MSFT,184.82,185.94,183.58,185.36
2020-06-04,MSFT,184.3,185.84,182.3,182.92
2020-06-05,MSFT,182.62,187.73,182.01,187.2
2020-06-06,MSFT,183.46,186.785,182.155,185.06
2020-06-07,MSFT,186.97,189.625,185.85,189.08
2020-06-08,MSFT,185.94,188.55,184.44,188.36
2020-06-09,MSFT,188.0,190.7,187.26,189.8
2020-06-10,MSFT,191.13,198.52,191.01,196.84
2020-06-11,MSFT,193.13,195.76,186.07,186.27
2020-06-12,MSFT,190.54,191.72,185.18,187.74
2020-06-13,MSFT,191.83499999999998,193.74,185.625,187.005
2020-06-14,MSFT,191.83499999999998,193.74,185.625,187.005
2020-06-15,MSFT,193.95999999999998,195.95,192.575,193.905
2020-06-16,MSFT,192.89,195.58,191.46,193.57
2020-06-17,MSFT,195.03,196.32,193.69,194.24
2020-06-18,MSFT,194.0,196.49,194.0,196.32
2020-06-19,MSFT,198.59,199.29,194.37,195.15
2020-06-20,MSFT,196.29500000000002,197.89,194.185,195.735
2020-06-21,MSFT,198.94,202.355,198.32999999999998,201.24
2020-06-22,MSFT,195.79,200.76,195.23,200.57
2020-06-23,MSFT,202.09,203.95,201.43,201.91
2020-06-24,MSFT,201.6,203.25,196.56,197.84
2020-06-25,MSFT,197.8,200.61,195.47,200.34
2020-06-26,MSFT,199.73,199.89,194.88,196.33
2020-06-27,MSFT,198.765,200.25,195.175,198.335
2020-06-28,MSFT,196.82999999999998,201.465,195.645,200.975
2020-06-29,MSFT,195.78,198.53,193.55,198.44
2020-06-30,MSFT,197.88,204.4,197.74,203.51
2020-07-01,MSFT,203.14,206.35,201.77,204.7
2020-07-02,MSFT,205.68,208.02,205.0,206.26
